#	X03MA-ES2-MA:TRYS,	X03MA-ES2-MA:TRZS.VAL,	X03MA-ES2-ACPH1:V,	X03MA-ES2-ACDC:V,	
2.620000e+00	7.717000e-01	-4.440375e-02	1.754788e-02	
2.620000e+00	7.748000e-01	-4.470893e-02	1.449607e-02	
2.620000e+00	7.786000e-01	-4.501411e-02	1.419089e-02	
2.620000e+00	7.830000e-01	-4.470893e-02	1.571679e-02	
2.620000e+00	7.865000e-01	-4.470893e-02	1.419089e-02	
2.620000e+00	7.909000e-01	-4.501411e-02	1.480125e-02	
2.620000e+00	7.958000e-01	-4.501411e-02	1.419089e-02	
2.620000e+00	7.984000e-01	-4.531930e-02	1.815824e-02	
2.620000e+00	8.030000e-01	-4.531930e-02	1.480125e-02	
2.620000e+00	8.065000e-01	-4.501411e-02	1.327535e-02	
2.620000e+00	8.110000e-01	-4.531930e-02	1.358053e-02	
2.620000e+00	8.154000e-01	-4.531930e-02	1.388571e-02	
2.620000e+00	8.187000e-01	-4.531930e-02	1.815824e-02	
2.620000e+00	8.230000e-01	-4.531930e-02	1.449607e-02	
2.620000e+00	8.264000e-01	-4.531930e-02	1.876860e-02	
2.620000e+00	8.309000e-01	-4.531930e-02	1.388571e-02	
2.620000e+00	8.358000e-01	-4.501411e-02	1.419089e-02	
2.620000e+00	8.383000e-01	-4.531930e-02	1.785306e-02	
2.620000e+00	8.432000e-01	-4.531930e-02	1.358053e-02	
2.620000e+00	8.466000e-01	-4.531930e-02	1.388571e-02	
2.620000e+00	8.512000e-01	-4.531930e-02	1.815824e-02	
2.620000e+00	8.558000e-01	-4.501411e-02	1.449607e-02	

2.630000e+00	6.550000e-01	-5.813687e-02	1.480125e-02	
2.630000e+00	6.582000e-01	-5.691615e-02	1.632715e-02	
2.630000e+00	6.631000e-01	-5.691615e-02	2.059968e-02	
2.630000e+00	6.668000e-01	-5.539025e-02	1.541161e-02	
2.630000e+00	6.716000e-01	-5.600061e-02	1.571679e-02	
2.630000e+00	6.748000e-01	-5.416953e-02	1.846342e-02	
2.630000e+00	6.788000e-01	-5.416953e-02	1.632715e-02	
2.630000e+00	6.828000e-01	-5.294881e-02	1.510643e-02	
2.630000e+00	6.868000e-01	-5.355917e-02	1.571679e-02	
2.630000e+00	6.917000e-01	-5.203326e-02	1.449607e-02	
2.630000e+00	6.948000e-01	-5.050736e-02	1.876860e-02	
2.630000e+00	6.987000e-01	-4.867628e-02	1.571679e-02	
2.630000e+00	7.025000e-01	-4.654002e-02	1.541161e-02	
2.630000e+00	7.069000e-01	-4.531930e-02	1.480125e-02	
2.630000e+00	7.111000e-01	-4.409857e-02	1.510643e-02	
2.630000e+00	7.156000e-01	-4.470893e-02	1.510643e-02	
2.630000e+00	7.187000e-01	-4.470893e-02	1.419089e-02	
2.630000e+00	7.227000e-01	-4.470893e-02	1.449607e-02	
2.630000e+00	7.267000e-01	-4.440375e-02	1.419089e-02	
2.630000e+00	7.317000e-01	-4.440375e-02	1.449607e-02	
2.630000e+00	7.348000e-01	-4.379339e-02	1.632715e-02	
2.630000e+00	7.388000e-01	-4.287785e-02	1.724269e-02	
2.630000e+00	7.426000e-01	-4.226749e-02	1.998932e-02	
2.630000e+00	7.470000e-01	-4.348821e-02	1.541161e-02	
2.630000e+00	7.517000e-01	-4.379339e-02	1.449607e-02	
2.630000e+00	7.548000e-01	-4.409857e-02	1.876860e-02	
2.630000e+00	7.589000e-01	-4.409857e-02	1.419089e-02	
2.630000e+00	7.628000e-01	-4.409857e-02	1.449607e-02	
2.630000e+00	7.669000e-01	-4.348821e-02	1.846342e-02	
2.630000e+00	7.717000e-01	-4.409857e-02	1.510643e-02	
2.630000e+00	7.748000e-01	-4.440375e-02	1.419089e-02	
2.630000e+00	7.786000e-01	-4.470893e-02	1.571679e-02	
2.630000e+00	7.830000e-01	-4.470893e-02	1.449607e-02	
2.630000e+00	7.865000e-01	-4.470893e-02	1.480125e-02	
2.630000e+00	7.909000e-01	-4.470893e-02	1.480125e-02	
2.630000e+00	7.958000e-01	-4.470893e-02	1.815824e-02	
2.630000e+00	7.984000e-01	-4.501411e-02	1.449607e-02	
2.630000e+00	8.030000e-01	-4.501411e-02	1.358053e-02	
2.630000e+00	8.065000e-01	-4.501411e-02	1.388571e-02	
2.630000e+00	8.110000e-01	-4.531930e-02	1.419089e-02	
2.630000e+00	8.154000e-01	-4.531930e-02	1.815824e-02	
2.630000e+00	8.187000e-01	-4.531930e-02	1.449607e-02	
2.630000e+00	8.230000e-01	-4.501411e-02	1.907378e-02	
2.630000e+00	8.264000e-01	-4.531930e-02	1.388571e-02	
2.630000e+00	8.309000e-01	-4.501411e-02	1.388571e-02	
2.630000e+00	8.358000e-01	-4.501411e-02	1.815824e-02	
2.630000e+00	8.383000e-01	-4.531930e-02	1.358053e-02	
2.630000e+00	8.432000e-01	-4.531930e-02	1.419089e-02	
2.630000e+00	8.466000e-01	-4.531930e-02	1.785306e-02	
2.630000e+00	8.512000e-01	-4.531930e-02	1.449607e-02	
2.630000e+00	8.558000e-01	-4.501411e-02	1.754788e-02	

2.640000e+00	6.550000e-01	-5.783169e-02	1.480125e-02	
2.640000e+00	6.582000e-01	-5.783169e-02	1.968414e-02	
2.640000e+00	6.631000e-01	-5.813687e-02	1.541161e-02	
2.640000e+00	6.668000e-01	-5.691615e-02	1.480125e-02	
2.640000e+00	6.716000e-01	-5.691615e-02	1.815824e-02	
2.640000e+00	6.748000e-01	-5.600061e-02	1.632715e-02	
2.640000e+00	6.788000e-01	-5.661097e-02	1.541161e-02	
2.640000e+00	6.828000e-01	-5.569543e-02	1.602197e-02	
2.640000e+00	6.868000e-01	-5.569543e-02	1.449607e-02	
2.640000e+00	6.917000e-01	-5.447471e-02	1.846342e-02	
2.640000e+00	6.948000e-01	-5.294881e-02	1.510643e-02	
2.640000e+00	6.987000e-01	-5.111772e-02	1.571679e-02	
2.640000e+00	7.025000e-01	-4.806592e-02	1.541161e-02	
2.640000e+00	7.069000e-01	-4.592966e-02	1.510643e-02	
2.640000e+00	7.111000e-01	-4.440375e-02	1.541161e-02	
2.640000e+00	7.156000e-01	-4.440375e-02	1.419089e-02	
2.640000e+00	7.187000e-01	-4.470893e-02	1.480125e-02	
2.640000e+00	7.227000e-01	-4.470893e-02	1.419089e-02	
2.640000e+00	7.267000e-01	-4.409857e-02	1.449607e-02	
2.640000e+00	7.317000e-01	-4.409857e-02	1.602197e-02	
2.640000e+00	7.348000e-01	-4.409857e-02	1.602197e-02	
2.640000e+00	7.388000e-01	-4.318303e-02	1.968414e-02	
2.640000e+00	7.426000e-01	-4.226749e-02	1.602197e-02	
2.640000e+00	7.470000e-01	-4.287785e-02	1.541161e-02	
2.640000e+00	7.517000e-01	-4.348821e-02	1.907378e-02	
2.640000e+00	7.548000e-01	-4.379339e-02	1.480125e-02	
2.640000e+00	7.589000e-01	-4.379339e-02	1.510643e-02	
2.640000e+00	7.628000e-01	-4.409857e-02	1.785306e-02	
2.640000e+00	7.669000e-01	-4.226749e-02	1.632715e-02	
2.640000e+00	7.717000e-01	-4.348821e-02	1.480125e-02	
2.640000e+00	7.748000e-01	-4.348821e-02	1.632715e-02	
2.640000e+00	7.786000e-01	-4.470893e-02	1.449607e-02	
2.640000e+00	7.830000e-01	-4.470893e-02	1.510643e-02	
2.640000e+00	7.865000e-01	-4.470893e-02	1.480125e-02	
2.640000e+00	7.909000e-01	-4.470893e-02	1.815824e-02	
2.640000e+00	7.958000e-01	-4.440375e-02	1.480125e-02	
2.640000e+00	7.984000e-01	-4.501411e-02	1.358053e-02	
2.640000e+00	8.030000e-01	-4.501411e-02	1.388571e-02	
2.640000e+00	8.065000e-01	-4.501411e-02	1.419089e-02	
2.640000e+00	8.110000e-01	-4.501411e-02	1.785306e-02	
2.640000e+00	8.154000e-01	-4.531930e-02	1.449607e-02	
2.640000e+00	8.187000e-01	-4.501411e-02	1.907378e-02	
2.640000e+00	8.230000e-01	-4.501411e-02	1.358053e-02	
2.640000e+00	8.264000e-01	-4.531930e-02	1.388571e-02	
2.640000e+00	8.309000e-01	-4.501411e-02	1.815824e-02	
2.640000e+00	8.358000e-01	-4.501411e-02	1.388571e-02	
2.640000e+00	8.383000e-01	-4.531930e-02	1.419089e-02	
2.640000e+00	8.432000e-01	-4.531930e-02	1.785306e-02	
2.640000e+00	8.466000e-01	-4.501411e-02	1.449607e-02	
2.640000e+00	8.512000e-01	-4.531930e-02	1.754788e-02	
2.640000e+00	8.558000e-01	-4.501411e-02	1.419089e-02	

2.650000e+00	6.550000e-01	-5.569543e-02	1.602197e-02	
2.650000e+00	6.582000e-01	-5.722133e-02	1.510643e-02	
2.650000e+00	6.631000e-01	-5.813687e-02	1.480125e-02	
2.650000e+00	6.668000e-01	-5.752651e-02	1.754788e-02	
2.650000e+00	6.716000e-01	-5.752651e-02	1.571679e-02	
2.650000e+00	6.748000e-01	-5.691615e-02	1.480125e-02	
2.650000e+00	6.788000e-01	-5.722133e-02	1.602197e-02	
2.650000e+00	6.828000e-01	-5.691615e-02	1.480125e-02	
2.650000e+00	6.868000e-01	-5.691615e-02	1.846342e-02	
2.650000e+00	6.917000e-01	-5.600061e-02	1.480125e-02	
2.650000e+00	6.948000e-01	-5.477989e-02	1.449607e-02	
2.650000e+00	6.987000e-01	-5.355917e-02	1.510643e-02	
2.650000e+00	7.025000e-01	-5.050736e-02	1.632715e-02	
2.650000e+00	7.069000e-01	-4.745556e-02	1.571679e-02	
2.650000e+00	7.111000e-01	-4.562448e-02	1.419089e-02	
2.650000e+00	7.156000e-01	-4.470893e-02	1.480125e-02	
2.650000e+00	7.187000e-01	-4.409857e-02	1.449607e-02	
2.650000e+00	7.227000e-01	-4.440375e-02	1.449607e-02	
2.650000e+00	7.267000e-01	-4.409857e-02	1.602197e-02	
2.650000e+00	7.317000e-01	-4.379339e-02	1.632715e-02	
2.650000e+00	7.348000e-01	-4.409857e-02	1.968414e-02	
2.650000e+00	7.388000e-01	-4.348821e-02	1.510643e-02	
2.650000e+00	7.426000e-01	-4.226749e-02	1.602197e-02	
2.650000e+00	7.470000e-01	-4.257267e-02	1.968414e-02	
2.650000e+00	7.517000e-01	-4.287785e-02	1.541161e-02	
2.650000e+00	7.548000e-01	-4.318303e-02	1.541161e-02	
2.650000e+00	7.589000e-01	-4.318303e-02	1.907378e-02	
2.650000e+00	7.628000e-01	-4.409857e-02	1.480125e-02	
2.650000e+00	7.669000e-01	-4.165713e-02	1.693751e-02	
2.650000e+00	7.717000e-01	-4.257267e-02	1.541161e-02	
2.650000e+00	7.748000e-01	-4.287785e-02	1.541161e-02	
2.650000e+00	7.786000e-01	-4.470893e-02	1.388571e-02	
2.650000e+00	7.830000e-01	-4.470893e-02	1.449607e-02	
2.650000e+00	7.865000e-01	-4.470893e-02	1.541161e-02	
2.650000e+00	7.909000e-01	-4.470893e-02	1.571679e-02	
2.650000e+00	7.958000e-01	-4.501411e-02	1.907378e-02	
2.650000e+00	7.984000e-01	-4.531930e-02	1.388571e-02	
2.650000e+00	8.030000e-01	-4.501411e-02	1.388571e-02	
2.650000e+00	8.065000e-01	-4.501411e-02	1.785306e-02	
2.650000e+00	8.110000e-01	-4.501411e-02	1.358053e-02	
2.650000e+00	8.154000e-01	-4.501411e-02	1.449607e-02	
2.650000e+00	8.187000e-01	-4.531930e-02	1.815824e-02	
2.650000e+00	8.230000e-01	-4.501411e-02	1.419089e-02	
2.650000e+00	8.264000e-01	-4.531930e-02	1.480125e-02	
2.650000e+00	8.309000e-01	-4.501411e-02	1.388571e-02	
2.650000e+00	8.358000e-01	-4.501411e-02	1.449607e-02	
2.650000e+00	8.383000e-01	-4.501411e-02	1.358053e-02	
2.650000e+00	8.432000e-01	-4.531930e-02	1.419089e-02	
2.650000e+00	8.466000e-01	-4.501411e-02	1.510643e-02	
2.650000e+00	8.512000e-01	-4.531930e-02	1.602197e-02	
2.650000e+00	8.558000e-01	-4.531930e-02	1.937896e-02	

2.660000e+00	6.550000e-01	-5.355917e-02	1.449607e-02	
2.660000e+00	6.582000e-01	-5.600061e-02	1.449607e-02	
2.660000e+00	6.631000e-01	-5.630579e-02	1.510643e-02	
2.660000e+00	6.668000e-01	-5.691615e-02	1.419089e-02	
2.660000e+00	6.716000e-01	-5.630579e-02	1.480125e-02	
2.660000e+00	6.748000e-01	-5.630579e-02	1.419089e-02	
2.660000e+00	6.788000e-01	-5.630579e-02	1.510643e-02	
2.660000e+00	6.828000e-01	-5.691615e-02	1.602197e-02	
2.660000e+00	6.868000e-01	-5.661097e-02	1.541161e-02	
2.660000e+00	6.917000e-01	-5.600061e-02	1.968414e-02	
2.660000e+00	6.948000e-01	-5.539025e-02	1.419089e-02	
2.660000e+00	6.987000e-01	-5.447471e-02	1.510643e-02	
2.660000e+00	7.025000e-01	-5.172808e-02	1.998932e-02	
2.660000e+00	7.069000e-01	-4.867628e-02	1.510643e-02	
2.660000e+00	7.111000e-01	-4.592966e-02	1.510643e-02	
2.660000e+00	7.156000e-01	-4.440375e-02	1.876860e-02	
2.660000e+00	7.187000e-01	-4.379339e-02	1.480125e-02	
2.660000e+00	7.227000e-01	-4.348821e-02	1.571679e-02	
2.660000e+00	7.267000e-01	-4.348821e-02	1.480125e-02	
2.660000e+00	7.317000e-01	-4.318303e-02	1.510643e-02	
2.660000e+00	7.348000e-01	-4.348821e-02	1.449607e-02	
2.660000e+00	7.388000e-01	-4.318303e-02	1.571679e-02	
2.660000e+00	7.426000e-01	-4.257267e-02	1.724269e-02	
2.660000e+00	7.470000e-01	-4.257267e-02	1.724269e-02	
2.660000e+00	7.517000e-01	-4.287785e-02	2.121004e-02	
2.660000e+00	7.548000e-01	-4.318303e-02	1.541161e-02	
2.660000e+00	7.589000e-01	-4.318303e-02	1.602197e-02	
2.660000e+00	7.628000e-01	-4.409857e-02	1.907378e-02	
2.660000e+00	7.669000e-01	-4.165713e-02	1.724269e-02	
2.660000e+00	7.717000e-01	-4.196231e-02	1.663233e-02	
2.660000e+00	7.748000e-01	-4.226749e-02	1.724269e-02	
2.660000e+00	7.786000e-01	-4.440375e-02	1.449607e-02	
2.660000e+00	7.830000e-01	-4.440375e-02	1.815824e-02	
2.660000e+00	7.865000e-01	-4.470893e-02	1.510643e-02	
2.660000e+00	7.909000e-01	-4.501411e-02	1.480125e-02	
2.660000e+00	7.958000e-01	-4.501411e-02	1.449607e-02	
2.660000e+00	7.984000e-01	-4.531930e-02	1.449607e-02	
2.660000e+00	8.030000e-01	-4.501411e-02	1.388571e-02	
2.660000e+00	8.065000e-01	-4.531930e-02	1.449607e-02	
2.660000e+00	8.110000e-01	-4.531930e-02	1.419089e-02	
2.660000e+00	8.154000e-01	-4.531930e-02	1.449607e-02	
2.660000e+00	8.187000e-01	-4.501411e-02	1.419089e-02	
2.660000e+00	8.230000e-01	-4.531930e-02	1.815824e-02	
2.660000e+00	8.264000e-01	-4.531930e-02	1.480125e-02	
2.660000e+00	8.309000e-01	-4.470893e-02	1.419089e-02	
2.660000e+00	8.358000e-01	-4.531930e-02	1.480125e-02	
2.660000e+00	8.383000e-01	-4.501411e-02	1.419089e-02	
2.660000e+00	8.432000e-01	-4.531930e-02	1.693751e-02	
2.660000e+00	8.466000e-01	-4.531930e-02	1.541161e-02	
2.660000e+00	8.512000e-01	-4.501411e-02	1.968414e-02	
2.660000e+00	8.558000e-01	-4.562448e-02	1.510643e-02	

2.670000e+00	6.550000e-01	-5.081254e-02	1.876860e-02	
2.670000e+00	6.582000e-01	-5.325399e-02	1.754788e-02	
2.670000e+00	6.631000e-01	-5.447471e-02	1.571679e-02	
2.670000e+00	6.668000e-01	-5.508507e-02	1.510643e-02	
2.670000e+00	6.716000e-01	-5.447471e-02	1.754788e-02	
2.670000e+00	6.748000e-01	-5.416953e-02	1.480125e-02	
2.670000e+00	6.788000e-01	-5.386435e-02	1.449607e-02	
2.670000e+00	6.828000e-01	-5.539025e-02	1.602197e-02	
2.670000e+00	6.868000e-01	-5.508507e-02	1.480125e-02	
2.670000e+00	6.917000e-01	-5.386435e-02	1.754788e-02	
2.670000e+00	6.948000e-01	-5.416953e-02	1.480125e-02	
2.670000e+00	6.987000e-01	-5.416953e-02	1.907378e-02	
2.670000e+00	7.025000e-01	-5.233844e-02	1.571679e-02	
2.670000e+00	7.069000e-01	-5.020218e-02	1.571679e-02	
2.670000e+00	7.111000e-01	-4.684520e-02	1.815824e-02	
2.670000e+00	7.156000e-01	-4.470893e-02	1.510643e-02	
2.670000e+00	7.187000e-01	-4.318303e-02	1.693751e-02	
2.670000e+00	7.227000e-01	-4.287785e-02	1.724269e-02	
2.670000e+00	7.267000e-01	-4.287785e-02	1.937896e-02	
2.670000e+00	7.317000e-01	-4.257267e-02	1.876860e-02	
2.670000e+00	7.348000e-01	-4.257267e-02	1.571679e-02	
2.670000e+00	7.388000e-01	-4.226749e-02	1.724269e-02	
2.670000e+00	7.426000e-01	-4.196231e-02	1.754788e-02	
2.670000e+00	7.470000e-01	-4.257267e-02	1.998932e-02	
2.670000e+00	7.517000e-01	-4.257267e-02	1.571679e-02	
2.670000e+00	7.548000e-01	-4.287785e-02	1.571679e-02	
2.670000e+00	7.589000e-01	-4.318303e-02	1.693751e-02	
2.670000e+00	7.628000e-01	-4.379339e-02	1.663233e-02	
2.670000e+00	7.669000e-01	-4.226749e-02	1.663233e-02	
2.670000e+00	7.717000e-01	-4.165713e-02	2.059968e-02	
2.670000e+00	7.748000e-01	-4.196231e-02	1.663233e-02	
2.670000e+00	7.786000e-01	-4.409857e-02	1.541161e-02	
2.670000e+00	7.830000e-01	-4.440375e-02	1.571679e-02	
2.670000e+00	7.865000e-01	-4.470893e-02	1.449607e-02	
2.670000e+00	7.909000e-01	-4.501411e-02	1.419089e-02	
2.670000e+00	7.958000e-01	-4.470893e-02	1.419089e-02	
2.670000e+00	7.984000e-01	-4.501411e-02	1.724269e-02	
2.670000e+00	8.030000e-01	-4.531930e-02	1.388571e-02	
2.670000e+00	8.065000e-01	-4.562448e-02	1.419089e-02	
2.670000e+00	8.110000e-01	-4.501411e-02	1.388571e-02	
2.670000e+00	8.154000e-01	-4.531930e-02	1.419089e-02	
2.670000e+00	8.187000e-01	-4.562448e-02	1.541161e-02	
2.670000e+00	8.230000e-01	-4.501411e-02	1.571679e-02	
2.670000e+00	8.264000e-01	-4.531930e-02	1.907378e-02	
2.670000e+00	8.309000e-01	-4.470893e-02	1.388571e-02	
2.670000e+00	8.358000e-01	-4.501411e-02	1.419089e-02	
2.670000e+00	8.383000e-01	-4.501411e-02	1.846342e-02	
2.670000e+00	8.432000e-01	-4.470893e-02	1.388571e-02	
2.670000e+00	8.466000e-01	-4.470893e-02	1.449607e-02	
2.670000e+00	8.512000e-01	-4.501411e-02	1.907378e-02	
2.670000e+00	8.558000e-01	-4.562448e-02	1.480125e-02	

2.680000e+00	6.550000e-01	-4.776074e-02	1.510643e-02	
2.680000e+00	6.582000e-01	-5.050736e-02	1.571679e-02	
2.680000e+00	6.631000e-01	-5.081254e-02	1.998932e-02	
2.680000e+00	6.668000e-01	-5.233844e-02	1.419089e-02	
2.680000e+00	6.716000e-01	-5.203326e-02	1.449607e-02	
2.680000e+00	6.748000e-01	-5.142291e-02	1.876860e-02	
2.680000e+00	6.788000e-01	-5.142291e-02	1.510643e-02	
2.680000e+00	6.828000e-01	-5.233844e-02	1.449607e-02	
2.680000e+00	6.868000e-01	-5.264363e-02	1.541161e-02	
2.680000e+00	6.917000e-01	-5.111772e-02	1.419089e-02	
2.680000e+00	6.948000e-01	-5.172808e-02	1.815824e-02	
2.680000e+00	6.987000e-01	-5.203326e-02	1.541161e-02	
2.680000e+00	7.025000e-01	-5.111772e-02	1.571679e-02	
2.680000e+00	7.069000e-01	-4.989700e-02	1.632715e-02	
2.680000e+00	7.111000e-01	-4.776074e-02	1.510643e-02	
2.680000e+00	7.156000e-01	-4.501411e-02	1.510643e-02	
2.680000e+00	7.187000e-01	-4.257267e-02	1.663233e-02	
2.680000e+00	7.227000e-01	-4.165713e-02	1.663233e-02	
2.680000e+00	7.267000e-01	-4.104677e-02	1.754788e-02	
2.680000e+00	7.317000e-01	-4.165713e-02	1.632715e-02	
2.680000e+00	7.348000e-01	-4.135195e-02	2.029450e-02	
2.680000e+00	7.388000e-01	-4.104677e-02	1.693751e-02	
2.680000e+00	7.426000e-01	-4.104677e-02	1.602197e-02	
2.680000e+00	7.470000e-01	-4.257267e-02	1.632715e-02	
2.680000e+00	7.517000e-01	-4.226749e-02	1.632715e-02	
2.680000e+00	7.548000e-01	-4.226749e-02	1.907378e-02	
2.680000e+00	7.589000e-01	-4.318303e-02	1.693751e-02	
2.680000e+00	7.628000e-01	-4.348821e-02	2.029450e-02	
2.680000e+00	7.669000e-01	-4.257267e-02	1.632715e-02	
2.680000e+00	7.717000e-01	-4.226749e-02	1.632715e-02	
2.680000e+00	7.748000e-01	-4.165713e-02	1.937896e-02	
2.680000e+00	7.786000e-01	-4.348821e-02	1.632715e-02	
2.680000e+00	7.830000e-01	-4.440375e-02	1.602197e-02	
2.680000e+00	7.865000e-01	-4.440375e-02	1.419089e-02	
2.680000e+00	7.909000e-01	-4.440375e-02	1.388571e-02	
2.680000e+00	7.958000e-01	-4.501411e-02	1.724269e-02	
2.680000e+00	7.984000e-01	-4.501411e-02	1.541161e-02	
2.680000e+00	8.030000e-01	-4.501411e-02	1.480125e-02	
2.680000e+00	8.065000e-01	-4.501411e-02	1.785306e-02	
2.680000e+00	8.110000e-01	-4.501411e-02	1.449607e-02	
2.680000e+00	8.154000e-01	-4.501411e-02	1.449607e-02	
2.680000e+00	8.187000e-01	-4.501411e-02	1.541161e-02	
2.680000e+00	8.230000e-01	-4.501411e-02	1.480125e-02	
2.680000e+00	8.264000e-01	-4.501411e-02	1.846342e-02	
2.680000e+00	8.309000e-01	-4.501411e-02	1.449607e-02	
2.680000e+00	8.358000e-01	-4.470893e-02	1.510643e-02	
2.680000e+00	8.383000e-01	-4.470893e-02	1.419089e-02	
2.680000e+00	8.432000e-01	-4.470893e-02	1.449607e-02	
2.680000e+00	8.466000e-01	-4.470893e-02	1.388571e-02	
